timestamp_utc,git_commit,build_mode,agent,evaluator,evaluator_parameters,feature_configuration,search_depth,depth_definition,seed_partition,minimum_path_probability,time_limit_seconds,optimization_configuration,seed,score,moves,max_tile_exponent,max_tile,runtime_seconds,aggregate_search_total_nodes,aggregate_search_cache_hits
2026-08-23T20:30:41.683Z,unavailable,Release,H3-timed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,8,"adaptive player-layer depth: 10-16 empty=4, 6-9 empty=6, 0-5 empty=8",custom,0,0.25,none,20500,131380,5546,13,8192,1382.041657708,7276866033,1045971313
2026-08-23T20:30:41.683Z,unavailable,Release,H3-timed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,8,"adaptive player-layer depth: 10-16 empty=4, 6-9 empty=6, 0-5 empty=8",custom,0,0.25,none,20501,56224,2568,12,4096,638.37867604200005,7276866033,1045971313
2026-08-23T20:30:41.683Z,unavailable,Release,H3-timed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,8,"adaptive player-layer depth: 10-16 empty=4, 6-9 empty=6, 0-5 empty=8",custom,0,0.25,none,20502,36760,1906,11,2048,474.28721324999998,7276866033,1045971313
