build_mode,search_depth,minimum_path_probability,optimize_baseline_weights,stage,candidate,games,mean_score,median_score,score_stddev,runtime_seconds,main_line,structural_stability,adverse_stuck,structural_displacement,empty_cells,monotonicity,smoothness,corner_preference,search_nodes,game_ms_per_move,cache_hit_rate
Release,4,0,true,1,0,3,47436,37000,26314.717707017113,110.720287375,0,0,0,0,85.221621525239641,44.83062947862652,43.676658929747916,28.751796341054963,1608008242,15.882975995696455,0.54023954915494554
Release,4,0,true,1,1,3,64230.666666666664,62136,48799.728250609485,238.675053209,4,1,2,2,85.221621525239641,44.83062947862652,43.676658929747916,28.751796341054963,1668413178,27.63081780111137,0.52697729895800505
Release,4,0,true,1,2,3,50006.666666666664,36284,26516.283701403812,69.225745416999999,4,0,0,0,85.221621525239641,44.83062947862652,43.676658929747916,28.751796341054963,1682748548,9.4480283255083926,0.54130797875258274
Release,4,0,true,1,3,3,62602.666666666664,48028,54336.343098641941,99.522847541999994,4,0,0,2,85.221621525239641,44.83062947862652,43.676658929747916,28.751796341054963,1749683397,12.089750880709426,0.53364128183041426
Release,4,0,true,1,4,3,99953.333333333328,81244,50922.505253898627,302.99929087499999,0.42307768772504512,6.0666770253277047,9.398604147433522,2.021755460438059,57.138216702302209,63.153087363661584,48.617274196141004,24.662013691639952,2137750342,22.949272860940692,0.51083232998126615
Release,4,0,true,1,5,3,59321.333333333336,59744,22069.035804342093,245.16357074999999,1.4619380018957044,0.21564738556367416,1.212753321279167,8.1116653271397716,106.11698106228029,24.481549746834236,49.050526809139477,20.829644620536719,1741847682,28.883544675895379,0.53069480747695497
Release,4,0,true,1,6,3,94109.333333333328,109936,29980.517496089578,323.08424570900002,1.3726429758766383,1.1744151055476499,3.0596792676181983,0.56089881089668769,115.82974924638357,37.302367198010373,24.712293838159923,27.468659832176016,2281353084,27.065778741057212,0.52370978825931169
Release,4,0,true,1,7,3,67608,52412,40223.735679322475,2127.7082045000002,3.4685435309822195,2.6435561875170235,2.4723517085228028,4.7102185162482542,57.680332977251645,46.347860648307474,69.967284075564081,24.190558630275522,1752337617,234.74273682060903,0.52445222434633842
Release,4,0,true,1,8,3,46585.333333333336,38696,27632.015151510997,1000.759266667,20.068351083525091,0.13190161895502511,5.764063293406096,0.31307195384993269,62.235324468724912,61.811313984881096,37.02399765319467,24.132682218132206,1303286277,146.22431768702515,0.51278514101227801
Release,4,0,true,1,9,3,41881.333333333336,36964,12203.164398357228,1037.6397756660001,9.5135379410270193,0.17728543950873463,0.22672760445586956,8.6369740640351029,96.684824180164085,42.996901976928818,19.72129730473047,33.523157763818944,1427864301,168.28409605108664,0.5396794989297049
