build_mode,stage,candidate,games,mean_score,median_score,score_stddev,runtime_seconds,empty_cells,monotonicity,smoothness,corner_preference,search_nodes,game_ms_per_move,cache_hit_rate
Release,0,0,3,30634.666666666668,31880,6628.328698347219,4.9020758750000004,270,47,15,100,85813924,1.043216464354118,0.50505994126266696
Release,0,1,3,22693.333333333332,16216,11521.761207963535,4.1790053330000001,332.72249470973009,20.364787449586885,58.209333579750549,35.800310368283377,73565537,1.1179782972177637,0.51231676764347678
Release,0,2,3,23908,27328,10247.360635793004,4.2859347919999999,138.48439411164955,26.335206222042732,4.7700572966745529,74.334713702169736,75205264,1.1350458710275424,0.51351225749488716
Release,0,3,3,21418.666666666668,16192,9212.6602744990723,3.86267125,652.46449963059968,31.678164758218522,18.116829490538784,33.560776474477464,67511226,1.1004756527065527,0.50739515157946746
Release,0,4,3,47381.333333333336,56512,16572.17249890108,6.2101052079999999,461.81127843043907,108.04742288711309,32.149549031798543,192.89931228876597,109023255,0.92618995764354972,0.48875499874145822
Release,0,5,3,27485.333333333332,37368,17217.837417438153,4.3399485000000002,216.5516863721285,133.15703595634119,52.379798170686989,247.10085455786287,75797999,0.97264598296727922,0.49866139564035322
Release,0,6,3,28796,27336,3143.4986877681372,4.8245130830000003,430.79915117649278,144.43823157374794,5.9539148772757038,32.426023100898561,83752209,1.0873364135677259,0.50365029640645476
Release,0,7,3,20386.666666666668,16000,8975.6090229762867,3.9630723749999999,271.27186146848663,15.3967382911357,9.2340439282966038,208.37526009619998,68431249,1.1890400165016501,0.51922223404228995
Release,0,8,3,18660,16224,12860.216483403379,3.41763825,317.97721851119752,14.448951005380009,7.4748809160628147,76.977034592844063,58626632,1.0968025115532734,0.50790563822250534
Release,0,9,3,33185.333333333336,35924,5154.1243032481598,5.2316467910000002,85.221621525239641,44.83062947862652,43.676658929747916,28.751796341054963,91073424,1.0162481221833723,0.4980547057875907
Release,0,10,3,18784,12644,15442.367176051734,3.57047325,238.30205741162132,18.128917176234076,53.052417763049142,162.04381995016558,61235675,1.1288243755927916,0.51522555424636118
Release,0,11,3,24937.333333333332,27284,7620.0045494299629,4.5642422500000004,263.20509334398952,15.601370379004649,21.854804924557161,49.16297073026594,78312959,1.1555039131645573,0.51304684523110955
Release,0,12,3,33417.333333333336,32740,1566.0106427905698,5.330451708,941.17265658317638,129.49897347863333,7.3313078925925614,60.797503952052509,92445150,1.0360446388726918,0.49589810435858178
Release,0,13,3,22068,17588,8790.5258090742209,3.8119377920000002,973.37748699999975,13.426662703583466,52.473553804529544,36.882899988642819,65858845,1.0457985593964334,0.5001740715885149
Release,0,14,3,28846.666666666668,27164,2938.7462179190184,4.4696253749999997,432.40985606192766,26.416233115686925,13.519206730081262,37.662169166243899,77224056,1.0057657986048605,0.49667224274833777
Release,0,15,3,33378.666666666664,34732,25572.871354881787,5.3019723340000002,767.05573401322431,172.41014423075254,37.18762211370948,110.03297960916979,91401357,1.0661513508948322,0.50330291503267555
Release,1,4,8,36176.5,35194,14505.737889341779,14.745888041000001,461.81127843043907,108.04742288711309,32.149549031798543,192.89931228876597,255325141,1.0200528932623132,0.49891162501480923
Release,1,12,8,28031,30062,7904.7344222126958,12.468137541000001,941.17265658317638,129.49897347863333,7.3313078925925614,60.797503952052509,214768801,1.0539421458157228,0.49843056093222082
Release,1,15,8,35271.5,36334,17635.994678092706,14.57943375,767.05573401322431,172.41014423075254,37.18762211370948,110.03297960916979,250891011,1.0262868887793888,0.49835559615301356
Release,1,9,8,38640.5,35422,18067.422608504119,15.464961292,85.221621525239641,44.83062947862652,43.676658929747916,28.751796341054963,268142078,1.0048706248213126,0.49678018106155225
Release,1,0,8,39748,33918,15631.199716318277,15.1327815,270,47,15,100,262281695,0.97135753790358814,0.49390840561013094
Release,1,14,8,23698,24516,6739.1801112174298,10.884723624999999,432.40985606192766,26.416233115686925,13.519206730081262,37.662169166243899,188421747,1.0784426375705936,0.50549326378262027
Release,2,0,20,30639,31362,14144.019282851825,32.310894584000003,270,47,15,100,559565389,1.0259379552295675,0.50135999769584483
Release,2,9,20,41800,36158,20216.276923102803,41.062575582999997,85.221621525239641,44.83062947862652,43.676658929747916,28.751796341054963,712813721,1.0027245010378256,0.49699757386529608
Release,2,4,20,31256.200000000001,32322,11174.278997581432,33.932868583000001,461.81127843043907,108.04742288711309,32.149549031798543,192.89931228876597,586889650,1.053782892456756,0.5031164911106375
