timestamp_utc,git_commit,build_mode,agent,evaluator,evaluator_parameters,feature_configuration,search_depth,depth_definition,seed_partition,optimization_configuration,seed,score,moves,max_tile_exponent,max_tile,runtime_seconds,aggregate_search_total_nodes,aggregate_search_cache_hits
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10039,15236,923,10,1024,0.075433500000000001,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10040,26580,1377,11,2048,0.113973041,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10041,28108,1496,11,2048,0.10083687500000001,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10042,27160,1409,11,2048,0.11032858299999999,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10043,29728,1585,11,2048,0.11164637500000001,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10044,16916,1008,10,1024,0.074680125,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10045,15816,937,10,1024,0.072139499999999995,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10046,7092,490,9,512,0.046376582999999999,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10047,27304,1428,11,2048,0.102466875,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10048,33276,1734,11,2048,0.12941012499999999,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10049,12216,730,10,1024,0.065322084000000002,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10050,14600,861,10,1024,0.065200667000000004,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10051,58860,2708,12,4096,0.16798512500000001,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10052,16940,1013,10,1024,0.083726624999999999,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10053,16172,954,10,1024,0.083006999999999997,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10054,32792,1696,11,2048,0.11621225,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10055,15228,882,10,1024,0.076174416999999994,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10056,31660,1602,11,2048,0.108470125,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10057,36500,1887,11,2048,0.1237475,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10058,12228,732,10,1024,0.060128874999999998,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10059,16100,949,10,1024,0.073042334,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10060,28228,1500,11,2048,0.105908459,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10061,32256,1644,11,2048,0.119066375,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10062,7008,483,9,512,0.047564875,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10063,51896,2392,12,4096,0.16050758400000001,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10064,7420,511,9,512,0.049216207999999997,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10065,35612,1826,11,2048,0.12568658299999999,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10066,27200,1420,11,2048,0.105310791,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10067,16112,947,10,1024,0.074924000000000004,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10068,16232,964,10,1024,0.071451708000000003,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10069,16396,978,10,1024,0.080129624999999996,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10070,16484,985,10,1024,0.077650874999999994,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10071,7600,531,9,512,0.051585332999999997,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10072,26400,1385,11,2048,0.097804625000000006,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10073,37224,1960,11,2048,0.124988083,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10074,32872,1704,11,2048,0.1187285,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10075,10672,631,10,1024,0.053848500000000001,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10076,32944,1691,11,2048,0.115220792,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10077,36736,1930,11,2048,0.11824154100000001,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10078,35360,1842,11,2048,0.11922125,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10079,14508,851,10,1024,0.072397375,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10080,27012,1415,11,2048,0.102661792,154836962,11835541
2026-08-18T18:47:21.249Z,unavailable,Release,baseline-custom,baseline-heuristic,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",2,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,none,10081,38748,2052,11,2048,0.141624792,154836962,11835541
