timestamp_utc,git_commit,build_mode,agent,evaluator,evaluator_parameters,feature_configuration,search_depth,depth_definition,seed_partition,minimum_path_probability,time_limit_seconds,optimization_configuration,seed,score,moves,max_tile_exponent,max_tile,runtime_seconds,aggregate_search_total_nodes,aggregate_search_cache_hits
2026-08-20T17:36:08.641Z,unavailable,Release,v2,structural-heuristic-initial-v2,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,v2:optimized-four-part-baseline+initial-structural-features,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,0,initial experimental structural weights; baseline terms use depth-3 optimized weights,10400,32576,1685,11,2048,92.308159415999995,1269153883,188321596
2026-08-20T17:36:08.641Z,unavailable,Release,v2,structural-heuristic-initial-v2,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,v2:optimized-four-part-baseline+initial-structural-features,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,0,initial experimental structural weights; baseline terms use depth-3 optimized weights,10401,17176,1036,10,1024,67.907437916999996,1269153883,188321596
2026-08-20T17:36:08.641Z,unavailable,Release,v2,structural-heuristic-initial-v2,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,v2:optimized-four-part-baseline+initial-structural-features,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,0,initial experimental structural weights; baseline terms use depth-3 optimized weights,10402,70124,3217,12,4096,152.22485779199999,1269153883,188321596
